20240521-213511, 0, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05, results, 200, 0: 0%, 100: -592.0258303880692
20240521-213745, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-213857, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-213942, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214139, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214155, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214308, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214330, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214442, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214532, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214617, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214639, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214740, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
20240521-214924, 0, 200, 4, 128, 128000, 194, 2, 256, 0.99, 0.0001, 0.0001, 0.05
