episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
2001, 165.15563774108887, 1, 1.3180834209924797, 58, 193748,                                             12800, 650.443603515625, 210.44789123535156
2002, -398.1245291233063, 2, 1.4976556979963789, 80, 193828,                                             12800, 537.3795776367188, 210.20175170898438
2003, -354.71086168289185, 2, 1.2969431560049998, 66, 193894,                                             12800, 596.822021484375, 210.10154724121094
2004, -331.40946888923645, 2, 1.070959689997835, 56, 193950,                                             12800, 547.4838256835938, 209.81752014160156
2005, 174.51409673690796, 1, 1.071679098997265, 55, 194005,                                             12800, 636.4131469726562, 209.23155212402344
2006, -341.6840772628784, 2, 1.162504057996557, 61, 194066,                                             12800, 738.9318237304688, 209.138671875
2007, 146.83202147483826, 1, 1.238519537000684, 67, 194133,                                             12800, 812.220947265625, 209.16946411132812
2008, -366.862233877182, 2, 1.387147065004683, 70, 194203,                                             12800, 741.4674072265625, 207.61927795410156
2009, -461.61486554145813, 2, 2.1118662799999584, 104, 194307,                                             12800, 739.4179077148438, 208.39273071289062
2010, -453.4601185321808, 2, 1.9320527030067751, 100, 194407,                                             12800, 719.3348999023438, 209.43951416015625
2011, -444.23489570617676, 2, 1.8515068340057041, 97, 194504,                                             12800, 655.4492797851562, 209.3308563232422
2012, -413.2783696651459, 2, 1.5747120559972245, 86, 194590,                                             12800, 766.484130859375, 209.11827087402344
2013, 134.23275327682495, 1, 1.2972775649977848, 70, 194660,                                             12800, 525.4927978515625, 210.41830444335938
2014, 143.98757767677307, 1, 1.2918092600011732, 68, 194728,                                             12800, 660.9227905273438, 208.11705017089844
2015, -431.9383542537689, 3, 2.4154823629942257, 95, 194823,                                             12800, 693.3201293945312, 211.1678466796875
2016, -421.62019515037537, 2, 1.6661535239982186, 89, 194912,                                             12800, 493.49261474609375, 209.3989715576172
2017, -346.93431758880615, 2, 1.16237399399688, 63, 194975,                                             12800, 841.4451904296875, 209.39537048339844
2018, 85.52932715415955, 1, 1.6738900760101387, 92, 195067,                                             12800, 783.998291015625, 208.41552734375
2019, -468.64262557029724, 2, 1.9000168269994901, 107, 195174,                                             12800, 680.5840454101562, 208.48004150390625
2020, -404.4639928340912, 2, 1.5637376950035105, 85, 195259,                                             12800, 466.8880615234375, 209.03688049316406
2021, 122.04082417488098, 1, 1.4392765140073607, 77, 195336,                                             12800, 464.3914489746094, 210.57183837890625
