20240510-204809, 0, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4, results, 2000, 1400: 6%, 1400: -130.04197731018067
20240510-205021, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-205126, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-205149, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-205239, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-205507, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-205617, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-205915, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-210044, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-210219, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-210306, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240510-210442, 0, 2000, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240511-000735, 0, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4, results, 7900, 2200: 10%, 7000: 123.6408935546875
20240512-222403, 0, 7900, 1, 128, 12800, 54, 2, 128, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
