20240515-225736, 0, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4, results, 100, 0: 0%, 100: -977.5825988054276
20240516-013757, 0, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4, results, 3900, 3200: 7%, 3700: 89.0887157678604
20240516-014045, 0, 3900, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-014530, 0, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4, results, 4100, 4000: 5%, 4000: -241.26069383621217
20240516-014657, 0, 4100, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-014830, 0, 4100, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-014851, 0, 4100, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-015103, 0, 4100, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-015147, 0, 4100, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-015315, 0, 4100, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-030949, 0, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4, results, 7600, 7000: 8%, 7000: 35.519834184646605
20240516-212958, 0, 7600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-213345, 0, 7600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-213458, 0, 7600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-213540, 0, 7600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-213609, 0, 7600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-213648, 0, 7600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240516-215135, 0, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4, results, 7700, 7700: 4%, 7700: -1175.975797700882
20240517-151617, 0, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4, results, 8600, 7800: 6%, 7800: -574.8346891403198
20240517-164131, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-164152, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-164219, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-164300, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-164345, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-164525, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-164611, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-164721, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-165128, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-170001, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-170646, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-170759, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-170955, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-171244, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-193022, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-193249, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-193427, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-193508, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
20240517-193608, 0, 8600, 1, 256, 51200, 194, 2, 512, 0.99, 0.001, 0.01, 0.01, A, False, False, 3, 4
