episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
101, -1635.4560961723328, 2, 6.508722525999474, 170, 2038632,                                             256000, 422.8707275390625, 228.40060424804688
102, -1288.8773651123047, 2, 4.22485469700041, 114, 2038746,                                             256000, 302.4966125488281, 230.62564086914062
103, -1367.7341861724854, 2, 4.13486190599906, 110, 2038856,                                             256000, 308.2664489746094, 229.65623474121094
104, -1260.2471733093262, 2, 3.2109665620009764, 84, 2038940,                                             256000, 331.635986328125, 229.8407440185547
105, -1966.6731662750244, 2, 6.581795599999168, 171, 2039111,                                             256000, 345.2674560546875, 227.5106964111328
106, -1786.4853596687317, 2, 7.005816028000481, 192, 2039303,                                             256000, 361.2793273925781, 227.92462158203125
107, -2325.7313175201416, 2, 8.766193176999877, 241, 2039544,                                             256000, 380.9366455078125, 228.0364990234375
108, -1404.2845525741577, 2, 4.352559172000838, 120, 2039664,                                             256000, 351.5961608886719, 230.4192352294922
109, -839.4347429275513, 2, 2.1684328750015993, 60, 2039724,                                             256000, 386.6558532714844, 229.60977172851562
110, -1034.5752115249634, 2, 2.918180831000427, 81, 2039805,                                             256000, 333.9770202636719, 231.01254272460938
111, -1311.6983003616333, 2, 3.716352774999905, 103, 2039908,                                             256000, 371.5516662597656, 233.07069396972656
112, -2003.9836626052856, 2, 6.525036154998816, 181, 2040089,                                             256000, 303.19970703125, 231.88250732421875
113, -1060.285029411316, 2, 3.0476518790001137, 86, 2040175,                                             256000, 342.5716857910156, 232.59738159179688
114, -1423.3155612945557, 1, 7.746453007999662, 211, 2040386,                                             256000, 353.0357360839844, 231.82742309570312
115, -1244.9732294082642, 2, 3.9253520490001392, 104, 2040490,                                             256000, 402.0444641113281, 232.22018432617188
116, -1823.9567532539368, 2, 7.18357892899985, 190, 2040680,                                             256000, 430.7283020019531, 231.78782653808594
117, -1557.1891422271729, 2, 4.2303732019991, 112, 2040792,                                             256000, 367.8092956542969, 233.49110412597656
118, -814.0327320098877, 2, 2.15176621899991, 57, 2040849,                                             256000, 394.996826171875, 226.64511108398438
119, -1140.7369394302368, 2, 3.451615601001322, 91, 2040940,                                             256000, 382.49395751953125, 232.61839294433594
120, -1385.9899892807007, 2, 4.354933427001015, 117, 2041057,                                             256000, 261.4886474609375, 235.2482452392578
121, -2084.537643432617, 2, 6.632122017999791, 177, 2041234,                                             256000, 369.28759765625, 235.5997772216797
122, -1493.6139860153198, 2, 4.637455566999051, 123, 2041357,                                             256000, 317.6970520019531, 235.1289520263672
123, -923.7260837554932, 2, 2.6409209900011774, 68, 2041425,                                             256000, 360.7837829589844, 235.94107055664062
124, -667.2248439788818, 2, 1.6137273779986572, 42, 2041467,                                             256000, 382.7907409667969, 235.40615844726562
125, -928.1665105819702, 2, 2.559329206000257, 68, 2041535,                                             256000, 398.65545654296875, 235.14820861816406
126, -1276.8274841308594, 2, 4.162642076000338, 111, 2041646,                                             256000, 393.0181884765625, 233.62374877929688
127, -1325.0410747528076, 2, 4.172919870999976, 110, 2041756,                                             256000, 368.2083740234375, 235.87649536132812
128, -1342.564308166504, 2, 3.4788996820007014, 92, 2041848,                                             256000, 306.833251953125, 235.7941131591797
129, -2495.633505821228, 2, 7.791827412998828, 213, 2042061,                                             256000, 329.1888427734375, 237.08859252929688
130, -1413.5649547576904, 2, 3.4964767120000033, 96, 2042157,                                             256000, 395.9466857910156, 235.3353271484375
131, -2136.6433267593384, 2, 6.883479844000249, 188, 2042345,                                             256000, 351.4627685546875, 238.1298370361328
132, -1185.7227277755737, 2, 3.1967021799991926, 89, 2042434,                                             256000, 458.3105773925781, 234.94638061523438
133, -1320.880331993103, 2, 3.6656950940014212, 103, 2042537,                                             256000, 409.46099853515625, 238.11764526367188
134, -1351.0644216537476, 2, 3.2846629840005335, 91, 2042628,                                             256000, 439.06732177734375, 239.18943786621094
135, -775.2156763076782, 2, 1.988526663999437, 53, 2042681,                                             256000, 285.77545166015625, 238.9794921875
136, -1544.8482751846313, 2, 4.880170275000637, 130, 2042811,                                             256000, 369.3612365722656, 240.2931671142578
137, -1960.4552907943726, 2, 6.399236470999313, 173, 2042984,                                             256000, 380.3256530761719, 239.14541625976562
138, -1402.1409435272217, 2, 3.3982446619993425, 96, 2043080,                                             256000, 504.8923645019531, 240.22998046875
139, -1777.8261032104492, 2, 5.315131551000377, 144, 2043224,                                             256000, 334.8155212402344, 237.4119415283203
140, -1602.943440914154, 2, 5.531315825001002, 152, 2043376,                                             256000, 363.4028625488281, 238.9132843017578
141, -1036.749719619751, 2, 2.7686653839991777, 79, 2043455,                                             256000, 392.42401123046875, 240.98162841796875
142, -833.1039276123047, 2, 2.056775729999572, 58, 2043513,                                             256000, 354.2224426269531, 235.36582946777344
143, -1595.853289604187, 2, 4.7975200780001614, 137, 2043650,                                             256000, 403.6909484863281, 238.49607849121094
144, -1026.189416885376, 2, 2.8072838190000766, 75, 2043725,                                             256000, 350.4571228027344, 241.31710815429688
145, -862.7385673522949, 2, 2.325574446000246, 63, 2043788,                                             256000, 361.0501708984375, 240.2142333984375
146, -1013.5220336914062, 2, 2.8766066919997684, 82, 2043870,                                             256000, 433.22723388671875, 241.56703186035156
147, -1240.8825750350952, 2, 3.624065611998958, 100, 2043970,                                             256000, 563.4408569335938, 241.2122802734375
148, -1035.8747367858887, 2, 2.9328813060001266, 82, 2044052,                                             256000, 336.1255798339844, 238.29611206054688
149, -1046.7631464004517, 2, 3.0065867520006577, 85, 2044137,                                             256000, 406.8805236816406, 239.69227600097656
